Date,Close
3/2/2015 16:00:00,32.94
3/3/2015 16:00:00,32.74
3/4/2015 16:00:00,32.82
3/5/2015 16:00:00,32.65
3/6/2015 16:00:00,32.18
3/9/2015 16:00:00,32.24
3/10/2015 16:00:00,32
3/11/2015 16:00:00,31.86
3/12/2015 16:00:00,32.21
3/13/2015 16:00:00,32.21
3/16/2015 16:00:00,32.63
3/17/2015 16:00:00,32.37
3/18/2015 16:00:00,32.57
3/19/2015 16:00:00,32.35
3/20/2015 16:00:00,32.45
3/23/2015 16:00:00,33.2
3/24/2015 16:00:00,32.7
3/25/2015 16:00:00,32.49
3/26/2015 16:00:00,32.36
3/27/2015 16:00:00,32.71
3/30/2015 16:00:00,33.16
3/31/2015 16:00:00,32.96
4/1/2015 16:00:00,32.52
4/2/2015 16:00:00,32.57
4/6/2015 16:00:00,32.66
4/7/2015 16:00:00,32.72
4/8/2015 16:00:00,32.82
4/9/2015 16:00:00,33.19
4/10/2015 16:00:00,33.57
4/13/2015 16:00:00,33.24
4/14/2015 16:00:00,33.19
4/15/2015 16:00:00,33.36
4/16/2015 16:00:00,33.34
4/17/2015 16:00:00,33.19
4/20/2015 16:00:00,33.17
4/21/2015 16:00:00,33.05
4/22/2015 16:00:00,33.09
4/23/2015 16:00:00,33.5
4/24/2015 16:00:00,33.41
4/27/2015 16:00:00,32.77
4/28/2015 16:00:00,32.66
4/29/2015 16:00:00,32.48
4/30/2015 16:00:00,32.14
5/1/2015 16:00:00,32.29
5/4/2015 16:00:00,32.51
5/5/2015 16:00:00,32.32
5/6/2015 16:00:00,31.7
5/7/2015 16:00:00,31.81
5/8/2015 16:00:00,32.23
5/11/2015 16:00:00,32.17
5/12/2015 16:00:00,32
5/13/2015 16:00:00,31.76
5/14/2015 16:00:00,32.15
5/15/2015 16:00:00,32.2
5/18/2015 16:00:00,32.19
5/19/2015 16:00:00,32.41
5/20/2015 16:00:00,32.49
5/21/2015 16:00:00,32.55
5/22/2015 16:00:00,32.47
5/26/2015 16:00:00,32.31
5/27/2015 16:00:00,32.49
5/28/2015 16:00:00,32.63
5/29/2015 16:00:00,32.92
6/1/2015 16:00:00,32.74
6/2/2015 16:00:00,32.67
6/3/2015 16:00:00,32.6
6/4/2015 16:00:00,32.44
6/5/2015 16:00:00,32.29
6/8/2015 16:00:00,32.19
6/9/2015 16:00:00,32.22
6/10/2015 16:00:00,32.5
6/11/2015 16:00:00,32.65
6/12/2015 16:00:00,32.41
6/15/2015 16:00:00,32.25
6/16/2015 16:00:00,32.25
6/17/2015 16:00:00,32.19
6/18/2015 16:00:00,32.56
6/19/2015 16:00:00,32.38
6/22/2015 16:00:00,32.5
6/23/2015 16:00:00,32.68
6/24/2015 16:00:00,32.43
6/25/2015 16:00:00,32.23
6/26/2015 16:00:00,32.13
6/29/2015 16:00:00,31.82
6/30/2015 16:00:00,31.76
7/1/2015 16:00:00,31.92
7/2/2015 16:00:00,31.61
7/6/2015 16:00:00,31.5
7/7/2015 16:00:00,31.95
7/8/2015 16:00:00,31.69
7/9/2015 16:00:00,32.08
7/10/2015 16:00:00,32.55
7/13/2015 16:00:00,32.99
7/14/2015 16:00:00,33.23
7/15/2015 16:00:00,33.14
7/16/2015 16:00:00,33.25
7/17/2015 16:00:00,33.22
7/20/2015 16:00:00,33.38
7/21/2015 16:00:00,33.29
7/22/2015 16:00:00,33.04
7/23/2015 16:00:00,32.95
7/24/2015 16:00:00,32.46
7/27/2015 16:00:00,32.53
7/28/2015 16:00:00,33.49
7/29/2015 16:00:00,33.88
7/30/2015 16:00:00,33.85
7/31/2015 16:00:00,34.16
8/3/2015 16:00:00,34.25
8/4/2015 16:00:00,34.21
8/5/2015 16:00:00,33.93
8/6/2015 16:00:00,33.32
8/7/2015 16:00:00,33.34
8/10/2015 16:00:00,33.5
8/11/2015 16:00:00,33.27
8/12/2015 16:00:00,33.51
8/13/2015 16:00:00,33.5
8/14/2015 16:00:00,33.46
8/17/2015 16:00:00,33.63
8/18/2015 16:00:00,33.65
8/19/2015 16:00:00,33.41
8/20/2015 16:00:00,32.73
8/21/2015 16:00:00,31.77
8/24/2015 16:00:00,30.44
8/25/2015 16:00:00,29.69
8/26/2015 16:00:00,30.72
8/27/2015 16:00:00,31.51
8/28/2015 16:00:00,30.94
8/31/2015 16:00:00,30.52
9/1/2015 16:00:00,29.71
9/2/2015 16:00:00,30.29
9/3/2015 16:00:00,30.21
9/4/2015 16:00:00,29.72
9/8/2015 16:00:00,30.82
9/9/2015 16:00:00,30.28
9/10/2015 16:00:00,30.9
9/11/2015 16:00:00,31.23
9/14/2015 16:00:00,30.99
9/15/2015 16:00:00,31.42
9/16/2015 16:00:00,31.43
9/17/2015 16:00:00,31.72
9/18/2015 16:00:00,31.12
9/21/2015 16:00:00,30.71
9/22/2015 16:00:00,30.56
9/23/2015 16:00:00,30.9
9/24/2015 16:00:00,30.98
9/25/2015 16:00:00,30.21
9/28/2015 16:00:00,29.2
9/29/2015 16:00:00,29.39
9/30/2015 16:00:00,29.76
10/1/2015 16:00:00,30.16
10/2/2015 16:00:00,31.34
10/5/2015 16:00:00,31.72
10/6/2015 16:00:00,31.06
10/7/2015 16:00:00,31.54
10/8/2015 16:00:00,31.35
10/9/2015 16:00:00,31.49
10/12/2015 16:00:00,31.47
10/13/2015 16:00:00,31.24
10/14/2015 16:00:00,31.3
10/15/2015 16:00:00,32.29
10/16/2015 16:00:00,32.6
10/19/2015 16:00:00,32.68
10/20/2015 16:00:00,32.21
10/21/2015 16:00:00,31.7
10/22/2015 16:00:00,31.57
10/23/2015 16:00:00,32.26
10/26/2015 16:00:00,32.36
10/27/2015 16:00:00,33.15
10/28/2015 16:00:00,33.58
10/29/2015 16:00:00,32.94
10/30/2015 16:00:00,32.04
11/2/2015 16:00:00,33.21
11/3/2015 16:00:00,33.13
11/4/2015 16:00:00,32.34
11/5/2015 16:00:00,32.35
11/6/2015 16:00:00,32.14
11/9/2015 16:00:00,31.88
11/10/2015 16:00:00,32.01
11/11/2015 16:00:00,31.96
11/12/2015 16:00:00,31.63
11/13/2015 16:00:00,31.52
11/16/2015 16:00:00,31.41
11/17/2015 16:00:00,31.14
11/18/2015 16:00:00,31.56
11/19/2015 16:00:00,30.59
11/20/2015 16:00:00,30.49
11/23/2015 16:00:00,29.68
11/24/2015 16:00:00,30.29
11/25/2015 16:00:00,31.14
11/27/2015 16:00:00,31.06
11/30/2015 16:00:00,31.04
12/1/2015 16:00:00,31.85
12/2/2015 16:00:00,31.17
12/3/2015 16:00:00,30.68
12/4/2015 16:00:00,31.07
12/7/2015 16:00:00,30.94
12/8/2015 16:00:00,30.82
12/9/2015 16:00:00,30.59
12/10/2015 16:00:00,30.66
12/11/2015 16:00:00,30.37
12/14/2015 16:00:00,30.49
12/15/2015 16:00:00,30.56
12/16/2015 16:00:00,30.86
12/17/2015 16:00:00,30.63
12/18/2015 16:00:00,30.31
12/21/2015 16:00:00,30.75
12/22/2015 16:00:00,30.81
12/23/2015 16:00:00,30.85
12/24/2015 16:00:00,30.9
12/28/2015 16:00:00,30.71
12/29/2015 16:00:00,31.1
12/30/2015 16:00:00,31.03
12/31/2015 16:00:00,30.58
1/4/2016 16:00:00,30.27
1/5/2016 16:00:00,30.49
1/6/2016 16:00:00,29.95
1/7/2016 16:00:00,29.75
1/8/2016 16:00:00,29.37
1/11/2016 16:00:00,29.43
1/12/2016 16:00:00,29.37
1/13/2016 16:00:00,28.77
1/14/2016 16:00:00,29.47
1/15/2016 16:00:00,29.19
1/19/2016 16:00:00,29.07
1/20/2016 16:00:00,29.05
1/21/2016 16:00:00,28.97
1/22/2016 16:00:00,29.09
1/25/2016 16:00:00,28.89
1/26/2016 16:00:00,29.05
1/27/2016 16:00:00,28.91
1/28/2016 16:00:00,28.61
1/29/2016 16:00:00,28.88
2/1/2016 16:00:00,28.58
2/2/2016 16:00:00,28.55
2/3/2016 16:00:00,28.11
2/4/2016 16:00:00,27.47
2/5/2016 16:00:00,27.5
2/8/2016 16:00:00,27.06
2/9/2016 16:00:00,27.57
2/10/2016 16:00:00,27.94
2/11/2016 16:00:00,27.6
2/12/2016 16:00:00,27.81
2/16/2016 16:00:00,28.24
2/17/2016 16:00:00,28.07
2/18/2016 16:00:00,27.99
2/19/2016 16:00:00,27.94
2/22/2016 16:00:00,28.47
2/23/2016 16:00:00,28.38
2/24/2016 16:00:00,28.44
2/25/2016 16:00:00,28.98
2/26/2016 16:00:00,28.64
2/29/2016 16:00:00,28.11
3/1/2016 16:00:00,28.46
3/2/2016 16:00:00,28.4
3/3/2016 16:00:00,28.32
3/4/2016 16:00:00,28.15
3/7/2016 16:00:00,28.22
